PlateIDs,Strain,Specie,Well,Plate,Media,Replicates,Compound,Description,KEGG ID,CAS ID,Max Resp,Max Resp Rate,Time till max resp rate,AUC
ECP1,BW25113,E. coli,B07,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Methionine,Nutritional supplement,C00073,CAS 63-68-3,252.40414778451296,12.685074526505232,48.0,7922.054100338599
ECP0,BW25113,E. coli,B08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Phenylalanine,Nutritional supplement,C00079,CAS 63-91-2,254.3142096822371,10.829320942306992,45.75,7476.732448421637
ECP1,BW25113,E. coli,B08,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Phenylalanine,Nutritional supplement,C00079,CAS 63-91-2,256.9765825288143,11.356534057860417,48.0,7699.7506430143185
ECP0,BW25113,E. coli,B09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,"Guanosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00942,CAS 40732-48-7,235.12352868140565,9.60678553846094,43.0,6763.043549784209
ECP1,BW25113,E. coli,B09,PM05,IF0a-NaSuccinate-Fe Citrate,R2,"Guanosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00942,CAS 40732-48-7,241.13822024972785,10.796595096153112,44.25,7254.866151724865
ECP0,BW25113,E. coli,B10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Guanine,Nutritional supplement,C00242,CAS 10333-92-3,248.30547133161335,10.930875115557356,45.75,7362.701440285508
ECP1,BW25113,E. coli,B10,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Guanine,Nutritional supplement,C00242,CAS 10333-92-3,42.51935510675115,2.1986830769229897,45.0,1609.7496372551332
ECP0,BW25113,E. coli,B11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Guanosine,Nutritional supplement,C00387,CAS 118-00-3,255.9268921946818,21.643341313606243,44.75,8631.061502480696
ECP1,BW25113,E. coli,B11,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Guanosine,Nutritional supplement,C00387,CAS 118-00-3,238.32272810507988,21.198922917179573,44.25,8319.301257192927
ECP0,BW25113,E. coli,B12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyguanosine,Nutritional supplement,C00330,CAS 961-07-9,273.31146030205826,20.848932752646533,45.0,9298.91291844328
ECP1,BW25113,E. coli,B12,PM05,IF0a-NaSuccinate-Fe Citrate,R2,2`-Deoxyguanosine,Nutritional supplement,C00330,CAS 961-07-9,274.18130304630864,20.80605715995881,44.75,9586.144797906092
ECP0,BW25113,E. coli,C01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Proline,Nutritional supplement,C00148,CAS 147-85-3,271.37484472685304,15.377668807691464,45.75,9006.137595819691
ECP1,BW25113,E. coli,C01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Proline,Nutritional supplement,C00148,CAS 147-85-3,255.54213791668775,15.211157538460723,46.25,8636.469364610412
ECP0,BW25113,E. coli,C02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Serine,Nutritional supplement,C00065,CAS 56-45-1,250.81698727738413,12.11464671186866,48.0,7621.968695060263
ECP1,BW25113,E. coli,C02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Serine,Nutritional supplement,C00065,CAS 56-45-1,254.1244198114996,11.79397580682317,46.75,7672.904431214134
ECP0,BW25113,E. coli,C03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Threonine,Nutritional supplement,C00188,CAS 72-19-5,241.55393991904637,14.708950728676854,46.0,7585.093472879788
ECP1,BW25113,E. coli,C03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Threonine,Nutritional supplement,C00188,CAS 72-19-5,243.11327278006303,16.242359893072262,45.25,7735.798102765852
ECP0,BW25113,E. coli,C04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Tryptophan,Nutritional supplement,C00078,CAS 73-22-3,254.3648108566594,10.913060596153286,47.0,7559.026732525732
ECP1,BW25113,E. coli,C04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Tryptophan,Nutritional supplement,C00078,CAS 73-22-3,253.3212369109249,11.122177140416042,46.0,7519.600907832983
ECP0,BW25113,E. coli,C05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Tyrosine,Nutritional supplement,C00082,CAS 60-18-4,240.5888168810725,11.033974019230072,48.0,7118.298897748882
ECP1,BW25113,E. coli,C05,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Tyrosine,Nutritional supplement,C00082,CAS 60-18-4,258.3556793453428,11.224442423076257,48.0,7733.226051950451
ECP0,BW25113,E. coli,C06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Valine,Nutritional supplement,C00183,CAS 72-18-4,152.59670243626746,5.742610961538105,48.0,3644.087426241723
ECP1,BW25113,E. coli,C06,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Valine,Nutritional supplement,C00183,CAS 72-18-4,163.97682077964654,5.567914019230486,48.0,3942.511566203196
ECP0,BW25113,E. coli,C07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Isoleucine + L-Valine,Nutritional supplement,C00407,CAS 73-32-5,250.3623666604414,10.361644519230168,46.25,7301.905859171858
ECP1,BW25113,E. coli,C07,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Isoleucine + L-Valine,Nutritional supplement,C00407,CAS 73-32-5,245.9514074009514,10.505752769229955,46.0,7156.739527529451
ECP0,BW25113,E. coli,C08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Hydroxy-L-Proline,Nutritional supplement,C01015,CAS 51-35-4,255.90946482130997,10.022031634614676,48.0,7334.443795689635
ECP1,BW25113,E. coli,C08,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Hydroxy-L-Proline,Nutritional supplement,C01015,CAS 51-35-4,249.57362811107288,10.606398346153298,45.75,7317.605011419577
ECP0,BW25113,E. coli,C09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,(5) 4-Amino-Imidazole-4(5)-Carboxamide,Nutritional supplement,C04051,CAS 72-40-2,252.21101534670763,12.7553351601983,46.75,7706.290129688626
ECP1,BW25113,E. coli,C09,PM05,IF0a-NaSuccinate-Fe Citrate,R2,(5) 4-Amino-Imidazole-4(5)-Carboxamide,Nutritional supplement,C04051,CAS 72-40-2,252.2611319895938,13.071051598487172,45.75,7722.045904218552
ECP0,BW25113,E. coli,C10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Hypoxanthine,Nutritional supplement,C00262,CAS 68-94-0,248.814074435243,15.48080056067613,48.0,7738.746351843929
ECP1,BW25113,E. coli,C10,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Hypoxanthine,Nutritional supplement,C00262,CAS 68-94-0,235.1732969992,16.358649783237524,45.5,7386.223397752534
ECP0,BW25113,E. coli,C11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Inosine,Nutritional supplement,C00294,CAS 58-63-9,252.24881181265025,21.356806944987483,45.25,8736.829569083964
ECP1,BW25113,E. coli,C11,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Inosine,Nutritional supplement,C00294,CAS 58-63-9,231.8412204189352,19.66774317276804,46.75,8155.721380812492
ECP0,BW25113,E. coli,C12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyinosine,Nutritional supplement,C05512,CAS 890-38-0,269.6742700981589,15.395995596153057,45.0,9053.580999799657
ECP1,BW25113,E. coli,C12,PM05,IF0a-NaSuccinate-Fe Citrate,R2,2`-Deoxyinosine,Nutritional supplement,C05512,CAS 890-38-0,271.82517744073334,19.70187558592758,45.25,9407.418251180732
ECP0,BW25113,E. coli,D01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Ornithine,Nutritional supplement,C00077,CAS 3184-13-2,273.4561324299969,16.103206076922106,45.25,9088.386598607807
ECP1,BW25113,E. coli,D01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Ornithine,Nutritional supplement,C00077,CAS 3184-13-2,251.16797469735693,13.802758365383738,44.75,8310.480123362579
ECP0,BW25113,E. coli,D02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Citrulline,Nutritional supplement,C00327,CAS 372-75-8,253.55326949338365,9.733783942307127,48.0,7369.81877975622
ECP1,BW25113,E. coli,D02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Citrulline,Nutritional supplement,C00327,CAS 372-75-8,253.33884864304636,9.35209671153791,48.0,7274.02052143913
ECP0,BW25113,E. coli,D03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Chorismic acid,Nutritional supplement,C00251,CAS 617-12-9,240.9243847898915,10.872089680690394,48.0,7080.890125138184
ECP1,BW25113,E. coli,D03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Chorismic acid,Nutritional supplement,C00251,CAS 617-12-9,245.31042660292,11.55157580821492,48.0,7350.788253772138
ECP0,BW25113,E. coli,D04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,(-)Shikimic acid,Nutritional supplement,C00493,CAS 138-59-0,255.3419340534452,11.078234692306978,48.0,7591.831817621058
ECP1,BW25113,E. coli,D04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,(-)Shikimic acid,Nutritional supplement,C00493,CAS 138-59-0,255.01889032459675,11.336839365383868,48.0,7564.171825399097
ECP0,BW25113,E. coli,D05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Homoserine Lactone,Nutritional supplement,,CAS 2185-02-6,248.4899230459578,14.794765852988403,46.0,7780.178388570674
ECP1,BW25113,E. coli,D05,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Homoserine Lactone,Nutritional supplement,,CAS 2185-02-6,260.1192137164093,14.951506811018362,46.0,8029.769931804334
ECP0,BW25113,E. coli,D06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Alanine,Nutritional supplement,C00133,CAS 338-69-2,247.81672136536187,12.93263676642158,45.5,7644.558779744926
ECP1,BW25113,E. coli,D06,PM05,IF0a-NaSuccinate-Fe Citrate,R2,D-Alanine,Nutritional supplement,C00133,CAS 338-69-2,256.4941654152498,13.526604645469718,46.25,7713.220927927963
ECP0,BW25113,E. coli,D07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Aspartic acid,Nutritional supplement,C00402,CAS 1783-96-6,249.16616856035827,9.984275153845571,46.25,7045.90664344881
ECP1,BW25113,E. coli,D07,PM05,IF0a-NaSuccinate-Fe Citrate,R2,D-Aspartic acid,Nutritional supplement,C00402,CAS 1783-96-6,247.2691248609708,10.772392711537949,47.5,7004.950650167765
ECP0,BW25113,E. coli,D08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Glutamic acid,Nutritional supplement,C00217,CAS 6893-26-1,251.5918690508987,10.47086163461472,45.25,7325.653721330628
ECP1,BW25113,E. coli,D08,PM05,IF0a-NaSuccinate-Fe Citrate,R2,D-Glutamic acid,Nutritional supplement,C00217,CAS 6893-26-1,258.36296885750886,11.091788134816582,48.0,7528.447246529506
ECP0,BW25113,E. coli,D09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,"DL-Diamino-a,e-Pimelic acid",Nutritional supplement,C00680,CAS 2577-62-0,248.02349794639923,10.499970134614898,46.0,7454.213791567919
ECP1,BW25113,E. coli,D09,PM05,IF0a-NaSuccinate-Fe Citrate,R2,"DL-Diamino-a,e-Pimelic acid",Nutritional supplement,C00680,CAS 2577-62-0,250.73648585518305,11.329382779986688,46.75,7461.57262407604
ECP0,BW25113,E. coli,D10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Cytosine,Nutritional supplement,C00380,CAS 71-30-7,246.95385577860853,12.614028461537714,45.0,7813.767787481514
ECP1,BW25113,E. coli,D10,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Cytosine,Nutritional supplement,C00380,CAS 71-30-7,259.1654352924103,12.257875507223872,48.0,7992.597100125707
ECP0,BW25113,E. coli,D11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Cytidine,Nutritional supplement,C00475,CAS 6018-48-0,259.96884957133864,21.07327232658656,46.0,8891.538321050539
ECP1,BW25113,E. coli,D11,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Cytidine,Nutritional supplement,C00475,CAS 6018-48-0,260.0980591502653,20.0204339849912,45.25,8897.62716610128
ECP0,BW25113,E. coli,D12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxycytidine,Nutritional supplement,C00881,CAS 951-77-9,277.0966054625144,21.157258483892804,44.75,9752.696540063473
ECP1,BW25113,E. coli,D12,PM05,IF0a-NaSuccinate-Fe Citrate,R2,2`-Deoxycytidine,Nutritional supplement,C00881,CAS 951-77-9,279.0325047081833,21.368164211160376,44.75,9760.503223525491
ECP0,BW25113,E. coli,E01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Putrescine,Nutritional supplement,C00134,CAS 333-93-7,274.4572447180027,16.694866961537343,44.75,9147.451172625695
ECP1,BW25113,E. coli,E01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Putrescine,Nutritional supplement,C00134,CAS 333-93-7,253.90018693190308,14.74695576923017,45.0,8435.146140168808
ECP0,BW25113,E. coli,E02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Spermidine,Nutritional supplement,C00315,CAS 334-50-9,244.6331624270469,10.284074961537897,48.0,7321.325892969618
ECP1,BW25113,E. coli,E02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Spermidine,Nutritional supplement,C00315,CAS 334-50-9,265.8393324186801,10.910937538461326,48.0,7863.080618989054
ECP0,BW25113,E. coli,E03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Spermine,Nutritional supplement,C00750,CAS 306-67-2,257.99781355744926,14.75523223076857,45.0,7903.405306971632
ECP1,BW25113,E. coli,E03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Spermine,Nutritional supplement,C00750,CAS 306-67-2,262.2875810414421,13.532008596153332,46.0,8016.130252429331
ECP0,BW25113,E. coli,E04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Pyridoxine,Nutritional supplement,C00314,CAS 58-56-0,243.36203500197288,10.320192538461017,45.5,6988.515953972856
ECP1,BW25113,E. coli,E04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Pyridoxine,Nutritional supplement,C00314,CAS 58-56-0,256.80053760105835,11.468913596153186,46.0,7385.465889552873
ECP0,BW25113,E. coli,E05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Pyridoxal,Nutritional supplement,C00250,CAS 65-22-5,250.97303540922917,10.704328096153231,46.0,7465.93377035338
ECP1,BW25113,E. coli,E05,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Pyridoxal,Nutritional supplement,C00250,CAS 65-22-5,251.59860960312253,10.572210288460894,46.0,7130.547814027402
ECP0,BW25113,E. coli,E06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Pyridoxamine,Nutritional supplement,C00534,CAS 524-36-7,254.6403967603937,10.488586192307082,46.25,7310.847610345463
ECP1,BW25113,E. coli,E06,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Pyridoxamine,Nutritional supplement,C00534,CAS 524-36-7,255.85101076277695,11.192467653845569,45.75,7303.932611152459
ECP0,BW25113,E. coli,E07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,b-Alanine,Nutritional supplement,C00099,CAS 107-95-9,259.23673840177594,11.013492384614665,48.0,7725.767737550291
ECP1,BW25113,E. coli,E07,PM05,IF0a-NaSuccinate-Fe Citrate,R2,b-Alanine,Nutritional supplement,C00099,CAS 107-95-9,251.44283973509533,10.934501442307097,46.5,7316.18068715502
ECP0,BW25113,E. coli,E08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Pantothenic acid,Nutritional supplement,C00864,CAS 137-08-6,259.3920132326092,10.892534269230111,46.5,7720.623343397703
ECP1,BW25113,E. coli,E08,PM05,IF0a-NaSuccinate-Fe Citrate,R2,D-Pantothenic acid,Nutritional supplement,C00864,CAS 137-08-6,251.9796151611126,10.63175786538386,45.75,7268.7397669606
ECP0,BW25113,E. coli,E09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Orotic acid,Nutritional supplement,C00295,CAS 154-85-8,253.8500671687868,12.092403526521949,48.0,7626.322965203175
ECP1,BW25113,E. coli,E09,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Orotic acid,Nutritional supplement,C00295,CAS 154-85-8,255.28506388047467,11.040018999999432,48.0,7466.489670017325
ECP0,BW25113,E. coli,E10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Uracil,Nutritional supplement,C00106,CAS 66-22-8,250.3381264448195,12.098770711537613,46.25,7821.789920819152
ECP1,BW25113,E. coli,E10,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Uracil,Nutritional supplement,C00106,CAS 66-22-8,254.87059832101497,12.851991115383896,46.5,7821.906054948784
ECP0,BW25113,E. coli,E11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Uridine,Nutritional supplement,C00299,CAS 58-96-8,256.29706230109315,22.903374616309407,47.25,9204.488090135712
ECP1,BW25113,E. coli,E11,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Uridine,Nutritional supplement,C00299,CAS 58-96-8,253.03534413546555,22.96562415008691,46.75,8970.845862283208
ECP0,BW25113,E. coli,E12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyuridine,Nutritional supplement,C00526,CAS 951-78-0,277.40287482119567,20.168123139089545,44.75,9903.67540200026
ECP1,BW25113,E. coli,E12,PM05,IF0a-NaSuccinate-Fe Citrate,R2,2`-Deoxyuridine,Nutritional supplement,C00526,CAS 951-78-0,284.4109097809591,21.08443736976073,44.75,10082.674420221849
ECP0,BW25113,E. coli,F01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Quinolinic acid,Nutritional supplement,C03722,CAS 89-00-9,269.9664696105612,16.90029740384523,34.5,8940.983686666405
ECP1,BW25113,E. coli,F01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Quinolinic acid,Nutritional supplement,C03722,CAS 89-00-9,250.3200041527795,14.852571673076,45.0,8450.755247791723
ECP0,BW25113,E. coli,F02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Nicotinic acid,Nutritional supplement,C00253,CAS 59-67-6,243.837410427784,13.59304006678795,47.5,7740.011954570179
ECP1,BW25113,E. coli,F02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Nicotinic acid,Nutritional supplement,C00253,CAS 59-67-6,265.4617583600162,14.298823743389818,46.5,8433.411544178602
ECP0,BW25113,E. coli,F03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Nicotinamide,Nutritional supplement,C00153,CAS 98-92-0,248.668820977608,13.59211902849924,46.25,7950.905604205105
ECP1,BW25113,E. coli,F03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Nicotinamide,Nutritional supplement,C00153,CAS 98-92-0,253.91695609018487,13.728708288351129,45.25,7943.736067886048
ECP0,BW25113,E. coli,F04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,b-Nicotinamide Adenine Dinucleotide,Nutritional supplement,C00003,CAS 53-84-9,246.00610591927932,15.247561935268266,46.0,7912.1271317668115
ECP1,BW25113,E. coli,F04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,b-Nicotinamide Adenine Dinucleotide,Nutritional supplement,C00003,CAS 53-84-9,259.37330562671883,17.051652998416728,47.5,8182.773042603394
ECP0,BW25113,E. coli,F05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,d-Amino-levulinic acid,Nutritional supplement,,CAS 5451-09-2,252.31435275315664,10.18186678846098,46.5,7287.121909284134
