PlateIDs,Strain,Specie,Well,Plate,Media,Replicates,Compound,Description,KEGG ID,CAS ID,Max Resp,Max Resp Rate,Time till max resp rate,AUC,Growth,Control Well Growth_x,Control Well Growth_y
ECP0,BW25113wt,E. coli,B01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Glutamine,Nutritional supplement,C00064,CAS 56-85-9,269.4924007226161,17.147687480768468,48.0,9035.418825349367,1,1,1
ECP0,BW25113wt,E. coli,B02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Glycine,Nutritional supplement,C00037,CAS 56-40-6,261.94951062682475,14.52294738664392,48.0,8224.840888917883,1,1,1
ECP0,BW25113wt,E. coli,B03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Histidine,Nutritional supplement,C00135,CAS 5934-29-2,249.59416206744675,10.756939284000339,48.0,7264.7336681284405,1,1,1
ECP0,BW25113wt,E. coli,B04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Isoleucine,Nutritional supplement,C00407,CAS 73-32-5,255.76753097646872,11.118915115383999,45.5,7491.572261296392,1,1,1
ECP0,BW25113wt,E. coli,B05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Leucine,Nutritional supplement,C00123,CAS 61-90-5,264.99190305583704,11.613439153845604,46.0,7515.730439740559,1,1,1
ECP0,BW25113wt,E. coli,B06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Lysine,Nutritional supplement,C00047,CAS 657-27-2,264.5432881844105,11.753225769230056,48.0,7826.3233175613495,1,1,1
ECP0,BW25113wt,E. coli,B07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Methionine,Nutritional supplement,C00073,CAS 63-68-3,251.78575559447177,12.981151850746869,46.0,7668.229236842287,1,1,1
ECP0,BW25113wt,E. coli,B08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Phenylalanine,Nutritional supplement,C00079,CAS 63-91-2,254.3142096822371,10.829320942306992,45.75,7476.732448421637,1,1,1
ECP0,BW25113wt,E. coli,B09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,"Guanosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00942,CAS 40732-48-7,235.12352868140565,9.60678553846094,43.0,6763.043549784209,1,1,1
ECP0,BW25113wt,E. coli,B10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Guanine,Nutritional supplement,C00242,CAS 10333-92-3,248.30547133161338,10.930875115557356,45.75,7362.701440285508,1,1,1
ECP0,BW25113wt,E. coli,B11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Guanosine,Nutritional supplement,C00387,CAS 118-00-3,255.9268921946818,21.643341313606243,44.75,8631.061502480696,1,1,1
ECP0,BW25113wt,E. coli,B12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyguanosine,Nutritional supplement,C00330,CAS 961-07-9,273.31146030205826,20.848932752646533,45.0,9298.912918443279,1,1,1
ECP0,BW25113wt,E. coli,C01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Proline,Nutritional supplement,C00148,CAS 147-85-3,271.37484472685304,15.377668807691464,45.75,9006.137595819691,1,1,1
ECP0,BW25113wt,E. coli,C02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Serine,Nutritional supplement,C00065,CAS 56-45-1,250.81698727738413,12.114646711868659,48.0,7621.968695060263,1,1,1
ECP0,BW25113wt,E. coli,C03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Threonine,Nutritional supplement,C00188,CAS 72-19-5,241.55393991904634,14.708950728676854,46.0,7585.093472879788,1,1,1
ECP0,BW25113wt,E. coli,C04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Tryptophan,Nutritional supplement,C00078,CAS 73-22-3,254.3648108566594,10.913060596153286,47.0,7559.026732525732,1,1,1
ECP0,BW25113wt,E. coli,C05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Tyrosine,Nutritional supplement,C00082,CAS 60-18-4,240.58881688107252,11.033974019230072,48.0,7118.298897748882,1,1,1
ECP0,BW25113wt,E. coli,C06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Valine,Nutritional supplement,C00183,CAS 72-18-4,152.59670243626746,5.742610961538105,48.0,3644.087426241723,1,1,1
ECP0,BW25113wt,E. coli,C07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Isoleucine + L-Valine,Nutritional supplement,C00407,CAS 73-32-5,250.3623666604414,10.361644519230168,46.25,7301.905859171858,1,1,1
ECP0,BW25113wt,E. coli,C08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Hydroxy-L-Proline,Nutritional supplement,C01015,CAS 51-35-4,255.90946482130994,10.022031634614677,48.0,7334.443795689635,1,1,1
ECP0,BW25113wt,E. coli,C09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,(5) 4-Amino-Imidazole-4(5)-Carboxamide,Nutritional supplement,C04051,CAS 72-40-2,252.21101534670765,12.7553351601983,46.75,7706.290129688626,1,1,1
ECP0,BW25113wt,E. coli,C10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Hypoxanthine,Nutritional supplement,C00262,CAS 68-94-0,248.81407443524301,15.48080056067613,48.0,7738.746351843929,1,1,1
ECP0,BW25113wt,E. coli,C11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Inosine,Nutritional supplement,C00294,CAS 58-63-9,252.24881181265025,21.356806944987483,45.25,8736.829569083964,1,1,1
ECP0,BW25113wt,E. coli,C12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyinosine,Nutritional supplement,C05512,CAS 890-38-0,269.6742700981589,15.395995596153057,45.0,9053.580999799655,1,1,1
ECP0,BW25113wt,E. coli,D01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Ornithine,Nutritional supplement,C00077,CAS 3184-13-2,273.4561324299969,16.103206076922106,45.25,9088.386598607809,1,1,1
ECP0,BW25113wt,E. coli,D02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Citrulline,Nutritional supplement,C00327,CAS 372-75-8,253.55326949338365,9.733783942307127,48.0,7369.81877975622,1,1,1
ECP0,BW25113wt,E. coli,D03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Chorismic acid,Nutritional supplement,C00251,CAS 617-12-9,240.9243847898915,10.872089680690394,48.0,7080.890125138184,1,1,1
ECP0,BW25113wt,E. coli,D04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,(-)Shikimic acid,Nutritional supplement,C00493,CAS 138-59-0,255.34193405344521,11.078234692306978,48.0,7591.831817621058,1,1,1
ECP0,BW25113wt,E. coli,D05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Homoserine Lactone,Nutritional supplement,,CAS 2185-02-6,248.4899230459578,14.794765852988405,46.0,7780.178388570674,1,1,1
ECP0,BW25113wt,E. coli,D06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Alanine,Nutritional supplement,C00133,CAS 338-69-2,247.81672136536187,12.93263676642158,45.5,7644.558779744926,1,1,1
ECP0,BW25113wt,E. coli,D07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Aspartic acid,Nutritional supplement,C00402,CAS 1783-96-6,249.16616856035827,9.984275153845573,46.25,7045.90664344881,1,1,1
ECP0,BW25113wt,E. coli,D08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Glutamic acid,Nutritional supplement,C00217,CAS 6893-26-1,251.5918690508987,10.470861634614721,45.25,7325.653721330628,1,1,1
ECP0,BW25113wt,E. coli,D09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,"DL-Diamino-a,e-Pimelic acid",Nutritional supplement,C00680,CAS 2577-62-0,248.02349794639923,10.499970134614898,46.0,7454.2137915679195,1,1,1
ECP0,BW25113wt,E. coli,D10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Cytosine,Nutritional supplement,C00380,CAS 71-30-7,246.95385577860853,12.614028461537714,45.0,7813.767787481514,1,1,1
ECP0,BW25113wt,E. coli,D11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Cytidine,Nutritional supplement,C00475,CAS 6018-48-0,259.96884957133864,21.07327232658656,46.0,8891.538321050539,1,1,1
ECP0,BW25113wt,E. coli,D12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxycytidine,Nutritional supplement,C00881,CAS 951-77-9,277.0966054625144,21.157258483892804,44.75,9752.696540063473,1,1,1
ECP0,BW25113wt,E. coli,E01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Putrescine,Nutritional supplement,C00134,CAS 333-93-7,274.4572447180027,16.694866961537343,44.75,9147.451172625697,1,1,1
ECP0,BW25113wt,E. coli,E02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Spermidine,Nutritional supplement,C00315,CAS 334-50-9,244.6331624270469,10.284074961537897,48.0,7321.325892969618,1,1,1
ECP0,BW25113wt,E. coli,E03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Spermine,Nutritional supplement,C00750,CAS 306-67-2,257.99781355744926,14.75523223076857,45.0,7903.405306971632,1,1,1
ECP0,BW25113wt,E. coli,E04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Pyridoxine,Nutritional supplement,C00314,CAS 58-56-0,243.36203500197286,10.320192538461015,45.5,6988.515953972856,1,1,1
ECP0,BW25113wt,E. coli,E05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Pyridoxal,Nutritional supplement,C00250,CAS 65-22-5,250.97303540922914,10.704328096153233,46.0,7465.93377035338,1,1,1
ECP0,BW25113wt,E. coli,E06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Pyridoxamine,Nutritional supplement,C00534,CAS 524-36-7,254.64039676039374,10.488586192307082,46.25,7310.847610345463,1,1,1
ECP0,BW25113wt,E. coli,E07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,b-Alanine,Nutritional supplement,C00099,CAS 107-95-9,259.23673840177594,11.013492384614665,48.0,7725.767737550291,1,1,1
ECP0,BW25113wt,E. coli,E08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Pantothenic acid,Nutritional supplement,C00864,CAS 137-08-6,259.3920132326092,10.892534269230111,46.5,7720.623343397703,1,1,1
ECP0,BW25113wt,E. coli,E09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Orotic acid,Nutritional supplement,C00295,CAS 154-85-8,253.8500671687868,12.092403526521949,48.0,7626.322965203175,1,1,1
ECP0,BW25113wt,E. coli,E10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Uracil,Nutritional supplement,C00106,CAS 66-22-8,250.33812644481947,12.098770711537611,46.25,7821.789920819152,1,1,1
ECP0,BW25113wt,E. coli,E11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Uridine,Nutritional supplement,C00299,CAS 58-96-8,256.29706230109315,22.903374616309407,47.25,9204.488090135712,1,1,1
ECP0,BW25113wt,E. coli,E12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyuridine,Nutritional supplement,C00526,CAS 951-78-0,277.40287482119567,20.168123139089545,44.75,9903.675402000259,1,1,1
ECP0,BW25113wt,E. coli,F01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Quinolinic acid,Nutritional supplement,C03722,CAS 89-00-9,269.9664696105612,16.90029740384523,34.5,8940.983686666405,1,1,1
ECP0,BW25113wt,E. coli,F02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Nicotinic acid,Nutritional supplement,C00253,CAS 59-67-6,243.83741042778396,13.59304006678795,47.5,7740.011954570179,1,1,1
ECP0,BW25113wt,E. coli,F03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Nicotinamide,Nutritional supplement,C00153,CAS 98-92-0,248.66882097760796,13.59211902849924,46.25,7950.905604205105,1,1,1
ECP0,BW25113wt,E. coli,F04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,b-Nicotinamide Adenine Dinucleotide,Nutritional supplement,C00003,CAS 53-84-9,246.00610591927935,15.247561935268266,46.0,7912.1271317668115,1,1,1
ECP0,BW25113wt,E. coli,F05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,d-Amino-levulinic acid,Nutritional supplement,,CAS 5451-09-2,252.31435275315664,10.18186678846098,46.5,7287.121909284134,1,1,1
ECP0,BW25113wt,E. coli,F06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Hematin,Nutritional supplement,,CAS 15489-90-4,244.86150195189012,10.619303711537725,46.25,7190.940673666349,1,1,1
ECP0,BW25113wt,E. coli,F07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Deferoxamine,Nutritional supplement,C06940,CAS 138-14-7,255.13027760808484,10.187339134614717,46.5,7388.176764653356,1,1,1
ECP0,BW25113wt,E. coli,F08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,a-D-Glucose,Nutritional supplement,C00031,CAS 50-99-7,242.1428387883639,16.879740651372998,44.0,8189.320886036148,1,1,1
ECP0,BW25113wt,E. coli,F09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,N-Acetyl-D-Glucosamine,Nutritional supplement,C00140,CAS 7512-17-6,252.0320540370989,15.186883045603139,46.75,8128.623271769857,1,1,1
ECP0,BW25113wt,E. coli,F10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Thymine,Nutritional supplement,C00178,CAS 65-71-4,232.08858556447782,10.62580200011709,45.25,7114.696430831434,1,1,1
ECP0,BW25113wt,E. coli,F11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Glutathione,Nutritional supplement,C00051,CAS 70-18-8,244.2569840308031,12.247253457654807,46.5,7748.711598271628,1,1,1
ECP0,BW25113wt,E. coli,F12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Thymidine,Nutritional supplement,C00214,CAS 50-89-5,275.5947414078927,17.715009803023406,44.75,9652.736415083928,1,1,1
ECP0,BW25113wt,E. coli,G01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Oxaloacetic acid,Nutritional supplement,C00036,CAS 328-42-7,267.6550539958598,16.255542733574828,45.5,9159.936453587117,1,1,1
ECP0,BW25113wt,E. coli,G02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,D-Biotin,Nutritional supplement,C00120,CAS 58-85-5,253.95447345487935,11.387150442306961,46.5,7781.525557762387,1,1,1
ECP0,BW25113wt,E. coli,G03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Cyanocobalamin,Nutritional supplement,C02823,CAS 68-19-9,249.3207589089045,12.084251765578102,48.0,7669.7545996503995,1,1,1
ECP0,BW25113wt,E. coli,G04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,p-Amino-Benzoic acid,Nutritional supplement,C00568,CAS 555-06-6,254.56649805472108,11.23076878846092,46.25,7739.406216783754,1,1,1
ECP0,BW25113wt,E. coli,G05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Folic acid,Nutritional supplement,C00504,CAS 59-30-3,254.1946557000856,11.418496785637885,47.75,7714.447590755679,1,1,1
ECP0,BW25113wt,E. coli,G06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Inosine + Thiamine,Nutritional supplement,C00294,CAS 58-63-9,239.52234802545186,20.049951487896664,46.75,8343.866688669808,1,1,1
ECP0,BW25113wt,E. coli,G07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Thiamine,Nutritional supplement,C00378,CAS 67-03-8,250.30162462487326,12.514635769230324,45.0,7644.015126882754,1,1,1
ECP0,BW25113wt,E. coli,G08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Thiamine Pyrophosphate,Nutritional supplement,C00068,CAS 154-87-0,242.77536846694693,10.592122200124066,46.75,7379.927020958637,1,1,1
ECP0,BW25113wt,E. coli,G09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Riboflavin,Nutritional supplement,C00255,CAS 83-88-5,213.94211132140472,12.001413634614607,44.5,7049.542023646398,1,1,1
ECP0,BW25113wt,E. coli,G10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Pyrrolo-Quinoline Quinone,Nutritional supplement,C00113,CAS 72909-34-3,241.84180337361124,11.128907480768532,45.5,7490.232811450604,1,1,1
ECP0,BW25113wt,E. coli,G11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Menadione,Nutritional supplement,C05377,CAS 130-37-0,221.62349547631922,10.768815096153276,45.5,7256.526282007308,1,1,1
ECP0,BW25113wt,E. coli,G12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,m-Inositol,Nutritional supplement,C00137,CAS 87-89-8,263.38787460094636,13.937859807691439,39.5,8828.442565206264,1,1,1
ECP0,BW25113wt,E. coli,H01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Butyric acid,Nutritional supplement,C00246,CAS 156-54-7,272.3404174999843,17.732646923076004,34.5,9408.759204141188,1,1,1
ECP0,BW25113wt,E. coli,H02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,a-Hydroxybutyric acid,Nutritional supplement,C05984,CAS 19054-57-0,277.4422788221369,15.287378730768353,45.5,9058.365466002333,1,1,1
ECP0,BW25113wt,E. coli,H03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,a-Ketobutyric acid,Nutritional supplement,C00109,CAS 2013-26-5,263.7894623159311,15.969521461537568,45.0,8569.549178797453,1,1,1
ECP0,BW25113wt,E. coli,H04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Caprylic acid,Nutritional supplement,C06423,CAS 1984-06-1,269.9812088194542,16.047941826922113,45.0,8843.567442268886,1,1,1
ECP0,BW25113wt,E. coli,H05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,DL-Thioctic acid,Nutritional supplement,C00725,CAS 1077-28-7,271.59987494611534,15.491235019229862,45.75,8954.579833900654,1,1,1
ECP0,BW25113wt,E. coli,H06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,DL-Mevalonic acid Lactone,Nutritional supplement,C02104,CAS 674-26-0,275.71898057664043,17.124572557691465,46.0,9009.38084752323,1,1,1
ECP0,BW25113wt,E. coli,H07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,DL-Carnitine,Nutritional supplement,C00487,CAS 461-05-2,270.60823648302227,16.183568288460435,46.75,8876.846741144327,1,1,1
ECP0,BW25113wt,E. coli,H08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Choline,Nutritional supplement,C00114,CAS 77-91-8,272.73379358633485,16.40543380769128,45.0,8819.821180039906,1,1,1
ECP0,BW25113wt,E. coli,H09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Tween 20,Nutritional supplement,C11624,CAS 9005-64-5,257.2106256601023,13.972360692306893,46.75,8611.357411717545,1,1,1
ECP0,BW25113wt,E. coli,H10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Tween 40,Nutritional supplement,D05566,CAS 9005-66-7,260.7095747364351,14.244523442306729,45.75,8851.365103781458,1,1,1
ECP0,BW25113wt,E. coli,H11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Tween 60,Nutritional supplement,D05567,CAS 9005-67-8,270.3153006734767,15.592845903845102,45.0,9227.68330671944,1,1,1
ECP0,BW25113wt,E. coli,H12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Tween 80,Nutritional supplement,C11625,CAS 9005-65-6,238.89371614902453,16.251113096152608,33.0,8798.005898602652,1,1,1
ECP1,BW25113wt,E. coli,A01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Negative Control,"Nutritional supplement, Negative control",,CAS Negative Control,237.8615446490247,15.10166838461464,26.0,8396.822747109238,1,1,1
ECP1,BW25113wt,E. coli,A02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Positive Control,"Nutritional supplement, Positive control",,CAS Luria Broth,280.12214851130227,17.406778557691325,45.5,9235.361101763243,1,1,1
ECP1,BW25113wt,E. coli,A03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Alanine,Nutritional supplement,C00041,CAS 56-41-7,273.2185291359317,15.855884288539727,45.0,9247.681596710656,1,1,1
ECP1,BW25113wt,E. coli,A04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Arginine,Nutritional supplement,C00062,CAS 1119-34-2,278.92718797840456,15.357122788460515,44.75,9211.867496396608,1,1,1
ECP1,BW25113wt,E. coli,A05,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Asparagine,Nutritional supplement,C00152,CAS 70-47-3,272.45741854663925,15.525030942306728,45.0,8877.708314489118,1,1,1
ECP1,BW25113wt,E. coli,A06,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Aspartic acid,Nutritional supplement,C00049,CAS 3792-50-5,275.62868900043753,16.2393423269221,45.75,9018.76170595212,1,1,1
ECP1,BW25113wt,E. coli,A07,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Cysteine,Nutritional supplement,C00097,CAS 7048-04-6,268.5012222185797,15.063408461537506,45.0,8357.734317560571,1,1,1
ECP1,BW25113wt,E. coli,A08,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Glutamic acid,Nutritional supplement,C00025,CAS 6106-04-3,269.43959886647485,15.70417974999907,47.75,8771.13667905518,1,1,1
ECP1,BW25113wt,E. coli,A09,PM05,IF0a-NaSuccinate-Fe Citrate,R2,"Adenosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00575,CAS 37839-81-9,272.11816647210526,15.266425038460625,47.25,8735.924527140904,1,1,1
ECP1,BW25113wt,E. coli,A10,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Adenine,Nutritional supplement,C00147,CAS 6055-72-7,269.84506085556336,16.477059336862027,46.25,9014.713677874497,1,1,1
ECP1,BW25113wt,E. coli,A11,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Adenosine,Nutritional supplement,C00212,CAS 58-61-7,277.01107020374417,24.1660755094191,45.25,9945.626040598121,1,1,1
ECP1,BW25113wt,E. coli,A12,PM05,IF0a-NaSuccinate-Fe Citrate,R2,2`-Deoxyadenosine,Nutritional supplement,C00559,CAS 16373-93-6,270.18630794858524,20.82730832810239,45.25,9760.302089606721,1,1,1
ECP1,BW25113wt,E. coli,B01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Glutamine,Nutritional supplement,C00064,CAS 56-85-9,252.43547449654713,15.691556788460389,44.25,8696.681106507825,1,1,1
ECP1,BW25113wt,E. coli,B02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Glycine,Nutritional supplement,C00037,CAS 56-40-6,261.63871817466344,14.883074777890016,45.5,8327.324142074587,1,1,1
ECP1,BW25113wt,E. coli,B03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Histidine,Nutritional supplement,C00135,CAS 5934-29-2,251.77863061931205,12.50994668674879,48.0,7627.582205615399,1,1,1
ECP1,BW25113wt,E. coli,B04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Isoleucine,Nutritional supplement,C00407,CAS 73-32-5,257.97559042893664,10.314792749999356,46.75,7524.560680664838,1,1,1
ECP1,BW25113wt,E. coli,B05,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Leucine,Nutritional supplement,C00123,CAS 61-90-5,259.2281159734899,10.757312865384108,46.75,7550.392731034979,1,1,1
ECP1,BW25113wt,E. coli,B06,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Lysine,Nutritional supplement,C00047,CAS 657-27-2,259.4618265950654,12.046495488971303,48.0,7895.678620685001,1,1,1
ECP1,BW25113wt,E. coli,B07,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Methionine,Nutritional supplement,C00073,CAS 63-68-3,252.40414778451296,12.685074526505232,48.0,7922.054100338599,1,1,1
ECP1,BW25113wt,E. coli,B08,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Phenylalanine,Nutritional supplement,C00079,CAS 63-91-2,256.9765825288143,11.356534057860415,48.0,7699.7506430143185,1,1,1
ECP1,BW25113wt,E. coli,B09,PM05,IF0a-NaSuccinate-Fe Citrate,R2,"Guanosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00942,CAS 40732-48-7,241.13822024972782,10.796595096153112,44.25,7254.866151724865,1,1,1
ECP1,BW25113wt,E. coli,B10,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Guanine,Nutritional supplement,C00242,CAS 10333-92-3,42.51935510675115,2.1986830769229897,45.0,1609.7496372551332,0,1,1
ECP1,BW25113wt,E. coli,B11,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Guanosine,Nutritional supplement,C00387,CAS 118-00-3,238.32272810507988,21.198922917179573,44.25,8319.301257192927,1,1,1
ECP1,BW25113wt,E. coli,B12,PM05,IF0a-NaSuccinate-Fe Citrate,R2,2`-Deoxyguanosine,Nutritional supplement,C00330,CAS 961-07-9,274.18130304630864,20.80605715995881,44.75,9586.144797906092,1,1,1
